titles,subtitles,links
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
GERMANY 2 HUNGARY 0,Hosts first team through to Euro 2024 last 16 as Gundogan shines,https://www.thesun.co.uk/sport/28605338/germany-hungary-match-report-euro-2024/
